"RecordNumber"	"StationName"	"Date"	"Survey"	"Replicate"	"Tide"	"Tide Height"	"SalinityZone"	"Temp(C)StartTop"	"Conductivity(uS/cm)StartTop"	"Salinity(ppt)StartTop"	"DOSat(Percent)StartTop"	"DOSat(mg/L)StartTop"	"Chl(ug/L)StartTop"	"Chl(RFU)StartTop"	"Temp(C)StartBottom"	"Conductivity(uS/cm)StartBottom"	"Salinity(ppt)StartBottom"	"DOSat(Percent)StartBottom"	"DOSat(mg/L)StartBottom"	"Chl(ug/L)StartBottom"	"Chl(RFU)StartBottom"	"Temp(C)EndTop"	"Conductivity(uS/cm)EndTop"	"Salinity(ppt)EndTop"	"DOSat(Percent)EndTop"	"DOSat(mg/L)EndTop"	"Chl(ug/L)EndTop"	"Chl(RFU)EndTop"	"Temp(C)EndBottom"	"Conductivity(uS/cm)EndBottom"	"Salinity(ppt)EndBottom"	"DOSat(Percent)EndBottom"	"DOSat(mg/L)EndBottom"	"Chl(ug/L)EndBottom"	"Chl(RFU)EndBottom"	"StartSecchi(cm)"	"EndSecchi(cm)"	"StartNTU"	"EndNTU"	"StartpH"	"EndpH"	"Comments"	"WQStartFile"	"WQEndFile"
1084	"NB-283"	1/21/2016 0:00:00	"Bittern Pond"	"1"	"Flooding"		"3: 7-9.99"	12.51	11410.00	6.52	88.30	9.03	5.50	1.30	12.48	12938.00	7.47	90.40	9.19	3.70	0.90	12.51	12860.00	7.42	78.20	7.95	7.20	1.70	12.62	13315.00	7.70	77.80	7.88	8.00	1.90	34.00	36.00	47.30	42.40			"pH Meter broken."	"Napa 1_21_16"	"Napa 1_21_16"
1085	"NB-283"	1/21/2016 0:00:00	"Bittern Pond"	"2"	"Flooding"		"3: 7-9.99"	12.51	12860.00	7.42	78.20	7.95	7.20	1.70	12.62	13315.00	7.70	77.80	7.88	8.00	1.90	12.66	13559.00	7.86	89.30	9.03	6.60	1.60	12.45	14211.00	8.26	91.50	9.27	14.40	3.40	36.00	35.00	42.40	34.30			"pH Meter broken."	"Napa 1_21_16"	"Napa 1_21_16"
1086	"NB-370"	1/21/2016 0:00:00	"Bittern Pond"	"1"	"Flooding"		"3: 7-9.99"																													31.00	22.00	72.10	80.20			"pH Meter broken.  No WQ.  Sonde did not record this time period.  Likely out of space."	"Napa 1_21_16"	
1087	"SB-120"	1/23/2016 0:00:00	"3"	"1"	"Low"		"0: <1"	13.80	931.00	0.60	69.80	7.26										14.00	1138.00	0.70	73.40	76.00			14.00	1140.00	0.70	72.10	7.47			12.00	13.00	267.00	182.00			"WQ from YSI"	"NA"	"NA"
1088	"SB-120"	1/23/2016 0:00:00	"3"	"2"	"Low"		"0: <1"	14.10	335.60	0.20	82.30	8.53			13.80	1281.00	0.80	73.60	7.64			14.00	1090.00	0.70	72.70	7.54			14.00	109.00	0.70	74.20	7.69			15.00	13.00	194.00	240.00			"WQ from YSI"	"NA"	"NA"
1089	"SB-130"	1/23/2016 0:00:00	"3"	"1"	"Flooding"		"1: 1-3.99"	14.30	2070.00	1.40	74.50	7.60			14.30	7205.00	5.10	70.60	7.08			14.50	5539.00	3.80	74.60	7.50			14.60	9312.00	6.60	69.20	6.81			16.00	20.00	133.00	67.50			"WQ with YSI"	"NA"	"NA"
1090	"SB-130"	1/23/2016 0:00:00	"3"	"2"	"Flooding"		"1: 1-3.99"	14.40	4278.00	2.90	75.40	7.64			14.70	9105.00	6.50	75.40	7.42			14.60	9312.00	6.60	69.20	6.81			14.70	10108.00	7.30	70.70	6.93			13.00	23.00	133.00	61.40			"WQ from YSI. Surface tow for 1-3 ppts"	"NA"	"NA"
1091	"SB-130"	1/23/2016 0:00:00	"3"	"3"	"Flooding"		"3: 7-9.99"	14.70	9105.00	6.50	75.40	7.42			14.70	10108.00	7.30	70.70	6.93			14.70	11143.00	8.00	72.60	7.09			14.60	11414.00	8.30	72.60	7.09			23.00	24.00	61.40	69.30			"WQ with YSI"	"NA"	"NA"
1092	"SB-130"	1/23/2016 0:00:00	"3"	"4"	"Flooding"		"3: 7-9.99"	14.60	11013.00	8.00	72.60	7.09			14.60	11414.00	8.30	72.20	7.09			14.50	12885.00	9.50	76.20	7.40			14.40	13348.00	9.90	74.00	7.19			24.00	20.00	69.30	77.00			"WQ with YSI"	"NA"	"NA"
1093	"SB-130"	1/23/2016 0:00:00	"3"	"5"	"Flooding"		"3: 7-9.99"	14.50	12885.00	9.50	72.60	7.09			14.40	13348.00	9.90	74.20	7.19			14.30	15005.00	11.60	78.70	7.58			14.20	16086.00	12.20	75.90	7.31			20.00	19.00	77.00	77.00			"WQ from YSI"	"NA"	"NA"
1094	"SB-140"	1/23/2016 0:00:00	"3"	"1"	"Flooding"		"4: >10"	14.20	16968.00	12.90	81.10	7.77			14.10	17683.00	13.50	78.80	7.55			14.10	18756.00	18756.00	80.20	7.62			14.00	19141.00	14.80	80.10	7.61			30.00	27.00	24.80	124.00			"WQ with YSI"	"NA"	"NA"
1095	"SB-410"	1/23/2016 0:00:00	"3"	"1"	"Ebbing"		"1: 1-3.99"	18.60	4879.00	3.00	81.80	7.59			14.00	121767.00	16.50	75.50	7.10			19.70	3792.00	2.30	72.50	6.61			14.20	17393.00	13.20	76.60	7.31			80.00		16.20	6.40			"WQ with YSI.  ART-1"	"NA"	"NA"
1096	"NB-720"	1/27/2016 0:00:00	"4"	"1"	"Low"		"0: <1"	12.02	909.00	0.45	97.70	10.49	10.20	2.40	11.97	917.00	0.45	100.90	10.85	7.70	1.80	11.83	1039.00	0.52	95.60	10.31	11.60	2.70	11.73	1105.00	0.55	99.20	10.72	10.60	2.50	20.00	22.00	56.50	86.80				"PET 1_27_16"	"PET 1_27_16"
1097	"NB-740"	1/27/2016 0:00:00	"4"	"1"	"Low"		"0: <1"	11.99	1204.00	0.60	93.20	10.01	11.00	2.60	11.96	1560.00	0.79	98.50	10.58	11.50	2.70	11.87	1275.00	0.64	93.80	10.10	10.50	2.50	11.82	1276.00	0.64	98.90	10.66	8.30	2.00	20.00	19.00	89.50	106.00				"PET 1_27_16"	"PET 1_27_16"
1098	"NB-810"	1/27/2016 0:00:00	"4"	"1"	"Low"		"1: 1-3.99"	12.15	2851.00	1.49	87.60	9.32	9.70	2.30	12.14	2885.00	1.51	97.00	10.32	9.30	2.20	12.23	3000.00	1.57	91.40	9.70	11.70	2.80	12.19	3025.00	1.59	97.60	10.37	16.20	3.80	22.00	19.00	79.60	82.30				"PET 1_27_16"	"PET 1_27_16"
1099	"NB-820"	1/27/2016 0:00:00	"4"	"1"	"Flooding"		"1: 1-3.99"	12.24	2998.00	1.57	92.40	9.80	10.00	2.40	12.19	3377.00	1.78	96.70	10.26	10.00	2.40	12.27	3388.00	1.79	91.70	9.71	10.40	2.40	12.26	3631.00	1.92	96.20	10.19	10.20	2.40	24.00	20.00	76.70	84.50				"PET 1_27_16"	"PET 1_27_16"
1100	"NB-830"	1/27/2016 0:00:00	"4"	"1"	"Flooding"		"1: 1-3.99"	12.27	3388.00	1.79	91.70	9.71	10.40	2.40	12.26	3631.00	1.92	96.20	10.19	10.20	2.40															20.00	18.00	84.50	85.90				"PET 1_27_16"	"PET 1_27_16"
1101	"NB-860"	1/27/2016 0:00:00	"4"	"1"	"Flooding"		"2: 4-6.99"	12.45	7029.00	3.88	91.20	9.50	9.90	2.30	12.40	8315.00	4.65	97.60	10.13	12.40	2.90	12.57	6666.00	3.67	93.00	9.67	9.60	2.30	12.54	9067.00	5.10	97.50	10.06	7.70	1.80	25.00	21.00	90.10	81.70				"PET 1_27_16"	"PET 1_27_16"
1102	"NB-860"	1/27/2016 0:00:00	"4"	"2"	"Flooding"		"2: 4-6.99"	12.57	6666.00	3.67	93.00	9.67	9.60	2.30	12.54	9067.00	5.10	97.50	10.06	7.70	1.80	12.55	7616.00	4.23	89.50	9.28	9.40	2.20	12.44	10072.00	5.71	95.50	9.83	8.10	1.90	21.00	22.00	81.70	76.70			"Checked bottom w/ van dorn 5.3 ppt"	"PET 1_27_16"	"PET 1_27_16"
1103	"NB-860"	1/27/2016 0:00:00	"4"	"3"	"Flooding"		"2: 4-6.99"	12.55	7616.00	4.23	89.50	9.28	9.40	2.20	12.44	10072.00	5.71	95.50	9.83	8.10	1.90															22.00	20.00	76.70	69.10			"3rd Rep in 860 & Sal Zone 2 due to high depth & fish count on previous tow (5.33 ppt at bottom 30 feet)"	"PET 1_27_16"	"PET 1_27_16"
1104	"NB-890"	1/27/2016 0:00:00	"4"	"1"	"Flooding"		"3: 7-9.99"	12.31	12479.00	7.18	94.20	9.64	7.00	1.70	12.01	15106.00	8.82	96.50	9.84	6.00	1.40	11.99	14832.00	8.65	92.30	9.42	6.70	1.60	11.99	14990.00	8.75	95.40	9.73	4.20	1.00	31.00	30.00	46.10	43.20			"YSI: 6.3 top, 7.8 bottom"	"PET 1_27_16"	"PET 1_27_16"
1105	"NB-900"	1/27/2016 0:00:00	"4"	"1"	"Flooding"		"3: 7-9.99"	11.99	14832.00	8.65	92.30	9.42	6.70	1.60	11.99	14990.00	8.75	95.40	9.73	4.20	1.00	12.26	15222.00	8.90	90.60	9.18	7.50	1.80	12.12	15325.00	8.96	94.70	9.62	10.90	2.60	30.00	25.00	43.20	52.70			"YSI: Top Start 7.6, Top End 8.2"	"PET 1_27_16"	"PET 1_27_16"
1106	"NB-930"	1/27/2016 0:00:00	"4"	"1"	"Flooding"		"4: >10"	11.79	18223.00	10.81	93.20	9.43	5.90	1.40	11.71	20600.00	12.34	95.80	9.62	4.40	1.00															31.00	28.00	64.90	71.70			"YSI: ppt Top Start 10, bottom 10.8.  End 11.1"	"PET 1_27_16"	"PET 1_27_16"
1107	"NB-930"	1/27/2016 0:00:00	"4"	"2"	"Flooding"		"4: >10"	11.79	18223.00	10.81	93.20	9.43	5.90	1.40	11.71	20600.00	12.34	95.80	9.62	4.40	1.00	12.11	21371.00	12.85	94.90	9.41	4.70	1.10	11.90	21614.00	13.01	97.10	9.66	3.00	0.70	28.00	30.00	71.70	62.40			"Hydrolics jam, 2 min extra at start"	"PET 1_27_16"	"PET 1_27_16"
1108	"NB-180"	1/28/2016 0:00:00	"4"	"1"	"Ebbing"		"0: <1"			0.40												12.16	637.00	0.31	96.30	10.32	3.40	0.80	12.14	628.00	0.31	99.80	10.70	1.90	0.40	56.00	52.00	28.60	22.50			"Sonde fail on start drop.  .4 ppt from YSI"	"NAPA 1_28_16"	"NAPA 1_28_16"
1109	"NB-180"	1/28/2016 0:00:00	"4"	"2"	"Ebbing"		"0: <1"	12.16	637.00	0.31	96.30	10.32	3.40	0.80	12.14	628.00	0.31	99.80	10.70	1.90	0.40	12.12	563.00	0.27	95.80	10.28	29.60	7.00	12.05	580.00	0.28	99.00	10.64	178.10	42.00	52.00	73.00	22.50	18.70				"NAPA 1_28_16"	"NAPA 1_28_16"
1110	"NB-170"	1/28/2016 0:00:00	"4"	"1"	"Ebbing"		"0: <1"	12.12	563.00	0.27	95.80	10.28	29.60	7.00	12.05	580.00	0.28	99.00	10.64	178.10	42.00	12.11	501.00	0.24	95.40	10.24	2.90	0.70	12.09	496.00	0.24	99.50	10.69	2.30	0.50	73.00	75.00	18.70	17.60				"NAPA 1_28_16"	"NAPA 1_28_16"
1111	"NB-230"	1/28/2016 0:00:00	"4"	"1"	"Ebbing"		"1: 1-3.99"	12.16	2727.00	1.42	92.70	9.87	5.80	1.40								12.12	1978.00	1.01	95.60	10.21	4.80	1.10	12.01	2371.00	1.23	98.40	10.53	3.40	0.80	43.00	34.00	44.80	47.10				"NAPA 1_28_16"	"NAPA 1_28_16"
1112	"NB-260"	1/28/2016 0:00:00	"4"	"1"	"Ebbing"		"1: 1-3.99"			2.30												12.13	4167.00	2.23	89.70	9.50	5.80	1.40	12.01	5512.00	3.00	97.70	10.33	3.30	0.80	37.00	34.00	47.00	55.10			"YSI for top Salinity"	"NAPA 1_28_16"	"NAPA 1_28_16"
1113	"NB-250"	1/28/2016 0:00:00	"4"	"1"	"Ebbing"		"1: 1-3.99"	12.13	4167.00	2.23	89.70	9.50	5.80	1.40	12.01	5512.00	3.00	97.70	10.33	3.30	0.80	12.14	3851.00	2.05	89.70	9.51	6.10	1.40	12.07	4501.00	2.42	96.10	10.19	5.40	1.30	34.00	35.00	55.10	50.40			"YSI Salinity:  1.9 ppt/1.8"	"NAPA 1_28_16"	"NAPA 1_28_16"
1114	"NB-310"	1/28/2016 0:00:00	"4"	"1"	"Low"		"2: 4-6.99"	11.93	8107.00	4.52	91.20	9.57	6.80	1.60	11.84	8416.00	4.70	96.50	10.13	6.90	1.60	11.93	8222.00	4.59	91.40	9.59	5.70	1.30	12.22	8272.00	4.62	95.60	9.96	3.20	0.80	31.00	34.00	50.80	42.70				"NAPA 1_28_16"	"NAPA 1_28_16"
1115	"NB-310"	1/28/2016 0:00:00	"4"	"2"	"Low"		"2: 4-6.99"	11.93	8222.00	4.59	91.40	9.59	5.70	1.30	12.22	8272.00	4.62	95.60	9.96	3.20	0.80	12.03	7867.00	4.38	92.60	9.70	5.60	1.30	11.82	8358.00	4.67	96.70	10.16	2.70	0.60	34.00	35.00	42.70	46.00			"4.1 ppt start and end"	"NAPA 1_28_16"	"NAPA 1_28_16"
1116	"NB-1119"	1/28/2016 0:00:00	"4"	"1"	"Flooding"		"4: >10"			10.40												12.01	16689.00	9.83	96.40	9.77	7.30	1.70	11.64	23929.00	14.52	97.40	9.66	12.60	3.00	81.00	74.00	19.20	16.70			"YSI ppt 10.4/9.8.  Near rock wall- tow away from it towards bay"	"NAPA 1_28_16"	"NAPA 1_28_16"
1117	"NB-1118"	1/28/2016 0:00:00	"4"	"1"	"Flooding"		"3: 7-9.99"	12.01	16689.00	9.83	96.40	9.77	7.30	1.70	11.64	23929.00	14.52	97.40	9.66	12.60	3.00	12.11	19656.00	11.73	95.70	9.56	2.90	0.70	11.69	20946.00	12.57	97.20	9.74	2.00	0.50	74.00	80.00	16.70	12.10				"NAPA 1_28_16"	"NAPA 1_28_16"
1118	"NB-1119"	1/28/2016 0:00:00	"4"	"2"	"Flooding"		"3: 7-9.99"	11.80	16098.00	9.45	96.10	9.81	3.30	0.80	11.31	20145.00	12.04	96.80	9.83	1.10	0.30	12.10	19492.00	11.63	95.60	9.55	4.30	1.00	11.77	21056.00	12.64	97.40	9.75	8.00	1.90	88.00	72.00	11.40	12.30			"Followed debris line behind rock wall.  Tow along wall outwards."	"NAPA 1_28_16"	"NAPA 1_28_16"
1119	"NB-1119"	1/28/2016 0:00:00	"4"	"3"	"Flooding"		"3: 7-9.99"	11.75	14617.00	8.51	96.20	9.88	5.40	1.30	11.64	19049.00	11.34	97.00	9.81	7.90	1.90	11.78	11645.00	6.67	91.00	9.45	3.10	0.70	12.17	32792.00	20.50	94.60	8.93	4.70	1.10	79.00	75.00	11.60	19.60			"Followed debris line behind rock wall. Tow along wall outwards.  End depth into channel at 70.1 feet.  Sonde at that depth.  4 foot clearance on the boat at Mare Island Bridge with +3.9 foot tide on Humminbird."	"NAPA 1_28_16"	"NAPA 1_28_16"
1120	"NB-1170"	2/2/2016 0:00:00	"5"	"1"	"Flooding"		"3: 7-9.99"	11.18	14780.00	8.61	98.10	10.20	3.70	0.90	11.27	20703.00	12.40	99.40	10.07	5.80	1.40	11.33	16530.00	9.72	98.60	10.14	3.10	0.70	11.33	20270.00	12.12	99.50	10.08	2.70	0.60	68.00	50.00	36.70	26.90				"SPB 2_2_16"	"SPB 2_2_16"
1121	"NB-1167"	2/2/2016 0:00:00	"5"	"1"	"High"		"3: 7-9.99"	11.26	16820.00	9.90	96.80	9.97	2.80	0.70	12.04	36905.00	23.34	101.50	9.44	2.20	0.50	10.86	17923.00	10.60	93.40	9.66	3.00	0.70	12.59	39888.00	25.44	99.80	9.05	16.80	4.00	67.00	80.00	14.20	12.90			"Choppy on the bay."	"SPB 2_2_16"	"SPB 2_2_16"
1122	"NB-1147"	2/2/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	11.18	24577.00	14.94	96.20	9.61	2.40	0.60	12.19	40633.00	25.96	98.70	9.00	6.90	1.60	11.20	25720.00	15.70	96.30	9.57	2.80	0.70	12.61	42114.00	27.02	99.30	8.92	11.80	2.80	94.00	105.00	10.50	8.76				"SPB 2_2_16"	"SPB 2_2_16"
1123	"NB-1133"	2/2/2016 0:00:00	"5"	"1"	"Ebbing"		"3: 7-9.99"	11.10	16951.00	9.99	95.60	9.88	3.40	0.80	12.65	41219.00	26.38	99.10	8.92	7.30	1.70	10.99	19313.00	11.50	95.10	9.76	2.40	0.60	12.35	41556.00	26.61	98.90	8.95	2.30	0.60	75.00	84.00	15.10	13.80				"SPB 2_2_16"	"SPB 2_2_16"
1124	"NB-1134"	2/2/2016 0:00:00	"5"	"1"	"Ebbing"		"2: 4-6.99"	10.96	10271.00	5.82	95.80	10.19	3.70	0.90	12.55	40188.00	25.65	100.50	9.11	6.60	1.60	10.96	10810.00	6.15	96.20	10.22	3.10	0.70	12.42	40019.00	25.53	99.80	9.08	2.00	0.50	64.00	68.00	25.20	24.40				"SPB 2_2_16"	"SPB 2_2_16"
1125	"NB-1134"	2/2/2016 0:00:00	"5"	"2"	"Ebbing"		"4: >10"	10.10	18556.00	11.00	97.30	10.22	15.40	3.60	9.82	19139.00	11.37	96.30	10.15	54.10	12.80	10.66	16999.00	10.01	98.00	10.22	5.40	1.30	10.47	25229.00	15.36	97.50	9.87	6.50	1.50	54.00	40.00	32.50	28.60				"SPB 2_2_16"	"SPB 2_2_16"
1126	"NB-361"	2/3/2016 0:00:00	"5"	"1"	"Flooding"		"4: >10"	11.57	19228.00	11.45	107.30	10.86	3.10	0.70	11.58	23351.00	14.14	107.90	10.74	2.60	0.60	11.64	20267.00	12.13	105.40	10.61	2.40	0.60	11.57	24111.00	14.64	104.20	10.34	1.90	0.40	40.00	41.00	26.90	30.90				"NAP 2_3_16"	"NAP 2_3_16"
1127	"NB-341"	2/3/2016 0:00:00	"5"	"1"	"Flooding"		"3: 7-9.99"	11.10	16026.00	9.40	100.10	10.37	3.80	0.90	11.20	17257.00	10.18	104.20	10.72	5.90	1.40	11.11	14455.00	8.41	102.50	10.69	3.80	0.90	11.12	17482.00	10.33	102.90	10.60	5.10	1.20	32.00	37.00	29.50	42.00				"NAP 2_3_16"	"NAP 2_3_16"
1128	"NB-283"	2/3/2016 0:00:00	"5"	"1"	"High"		"2: 4-6.99"	10.01	10220.00	5.78	100.90	10.98	3.60	0.90	9.88	10256.00	5.80	100.80	11.00	2.50	0.60	10.26	9272.00	5.21	100.00	10.85	7.80	1.80	10.21	11030.00	6.28	100.30	10.82	9.80	2.30	29.00	30.00	50.70	41.00				"NAP 2_3_16"	"NAP 2_3_16"
1129	"NB-271"	2/3/2016 0:00:00	"5"	"1"	"High"		"2: 4-6.99"	10.30	9640.00	5.43	101.10	10.95	4.10	1.00	10.28	10332.00	5.85	100.40	10.85	3.40	0.80	10.39	8173.00	4.55	99.70	10.83	11.70	2.80	10.36	8897.00	4.99	99.90	10.84	17.10	4.00	35.00	23.00	36.50	43.30				"NAP 2_3_16"	"NAP 2_3_16"
1130	"NB-252"	2/3/2016 0:00:00	"5"	"1"	"Ebbing"		"1: 1-3.99"	10.42	4115.00	2.19	98.20	10.83	6.90	1.60	10.41	6159.00	3.37	99.50	10.89	8.20	1.90	10.58	6025.00	3.29	97.70	10.66	4.90	1.10	10.56	6025.00	3.29	98.90	10.79	3.90	0.90	27.00	26.00	56.40	55.50				"NAP 2_3_16"	"NAP 2_3_16"
1131	"NB-242"	2/3/2016 0:00:00	"5"	"1"	"Ebbing"		"1: 1-3.99"															10.76	4383.00	2.35	100.10	10.94	4.40	1.00	10.64	4897.00	2.64	99.70	10.91	3.40	0.80	28.00	30.00	44.30	45.50			"No sonde data for start"	"NAP 2_3_16"	"NAP 2_3_16"
1132	"NB-201"	2/3/2016 0:00:00	"5"	"1"	"Ebbing"		"0: <1"	11.80	1595.00	0.81	98.20	10.58	5.30	1.30	11.77	1592.00	0.81	101.90	10.99	17.00	4.00	11.75	1545.00	0.78	98.50	10.62	4.50	1.10	11.72	1541.00	0.78	101.00	10.90	3.60	0.80	29.00	30.00	41.70	41.20				"NAP 2_3_16"	"NAP 2_3_16"
1133	"NB-190"	2/3/2016 0:00:00	"5"	"1"	"Ebbing"		"0: <1"	11.14	653.00	0.32	97.40	10.69	2.60	0.60	11.16	680.00	0.33	99.60	10.92	1.80	0.40	10.99	552.00	0.27	98.30	10.82	4.30	1.00	10.97	554.00	0.27	99.90	11.01	5.80	1.40	59.00	50.00	19.80	19.20			"QC: Check Start NTU"	"NAP 2_3_16"	"NAP 2_3_16"
1134	"NB-1109"	2/4/2016 0:00:00	"5"	"1"	"Flooding"		"4: >10"	11.19	22236.00	13.40	100.30	10.12	1.80	0.40	11.15	22519.00	13.59	100.80	10.17	1.60	0.40	11.12	22323.00	13.46	98.20	9.92	2.60	0.60	11.11	22335.00	13.47	99.70	10.07	4.30	1.00	76.00	67.00	15.90	16.30				"SPB 2_4_16"	"SPB 2_4_16"
1135	"NB-1125"	2/4/2016 0:00:00	"5"	"1"	"Flooding"		"4: >10"	11.28	23130.00	13.99	98.70	9.90	2.70	0.60	10.04	23868.00	14.45	98.60	10.14	13.00	3.10	11.28	1694.00	0.86	98.10	10.69	10.60	2.50	11.28	23262.00	14.08	99.60	9.98	3.10	0.70	76.00	78.00	15.20	15.00				"SPB 2_4_16"	"SPB 2_4_16"
1136	"NB-1158"	2/4/2016 0:00:00	"5"	"1"	"High"		"4: >10"	11.32	24106.00	14.63	98.30	9.81	2.50	0.60	11.27	24166.00	14.67	100.40	10.03	8.90	2.10	11.29	23938.00	14.52	97.40	9.74	2.50	0.60	11.27	23968.00	14.54	98.90	9.89	4.50	1.10	75.00	70.00	13.00	11.00				"SPB 2_4_16"	"SPB 2_4_16"
1137	"NB-1172"	2/4/2016 0:00:00	"5"	"1"	"High"		"4: >10"	10.35	20986.00	12.57	97.90	10.12	5.60	1.30	10.40	21021.00	12.60	98.40	10.16	3.30	0.80	10.22	20692.00	12.38	95.70	9.94	9.70	2.30	10.08	20962.00	12.55	98.20	10.21	8.50	2.00	36.00		59.90				"Towed at 1.7 mph.  Track stopped super late due to hydrolics malfunction.  Added extra 2 min at end of tow."	"SPB 2_4_16"	"SPB 2_4_16"
1138	"NB-990"	2/4/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	10.33	20354.00	12.16	92.90	9.62	7.40	1.80	10.35	20345.00	12.16	95.10	9.85	9.60	2.30	10.40	20110.00	12.01	94.20	9.76	7.80	1.80	10.41	20102.00	12.00	96.60	10.00	8.30	1.90	31.00	30.00	56.00				"Was labeled as NB-GC"	"SPB 2_4_16"	"SPB 2_4_16"
1139	"NB-1140"	2/4/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"			12.30							12.50					10.83	19427.00	11.57	97.50	10.03	3.60	0.80	10.83	22887.00	13.82	98.30	9.97	4.60	1.10	55.00	50.00	31.50	42.50			"No start sonde data"	"SPB 2_4_16"	"SPB 2_4_16"
1140	"NB-1106"	2/4/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	10.63	23515.00	14.23	97.70	9.93	4.40	1.00	10.54	23559.00	14.26	98.50	10.02	5.80	1.40	10.70	23295.00	14.09	97.00	9.85	5.20	1.20	10.71	23282.00	14.08	97.60	9.91	6.10	1.40	39.00	43.00	37.40	50.50				"SPB 2_4_16"	"SPB 2_4_16"
1141	"NB-1162"	2/4/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	10.76	23217.00	14.04	98.30	9.97	5.00	1.20	10.57	23343.00	14.12	99.00	10.08	10.70	2.50	10.80	22807.00	13.77	98.20	9.97	4.40	1.00	10.62	22992.00	13.89	98.70	10.06	8.30	2.00	42.00	35.00	38.40	40.80				"SPB 2_4_16"	"SPB 2_4_16"
1142	"NB-1178"	2/4/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	10.93	21931.00	13.20	99.10	10.07	2.60	0.60	10.68	22111.00	13.31	99.50	10.15	2.50	0.60	11.02	11233.00	6.41	98.30	10.41	4.00	0.90	10.84	21495.00	12.91	99.20	10.11	3.00	0.70	55.00	48.00	28.50	38.10				"SPB 2_4_16"	"SPB 2_4_16"
1143	"NB-1128"	2/4/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	11.26	19971.00	11.93	99.10	10.07	4.20	1.00	10.99	20118.00	12.02	99.20	10.14	3.40	0.80	11.39	18999.00	11.30	96.90	9.87	3.20	0.80	11.39	22641.00	13.67	98.90	9.92	4.50	1.10	34.00	40.00	74.10	49.10				"SPB 2_4_16"	"SPB 2_4_16"
1144	"NB-1144"	2/4/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	11.35	20900.00	12.53	95.80	9.68	9.40	2.20	11.35	20969.00	12.58	97.70	9.87	8.70	2.00	11.27	21583.00	12.98	98.90	9.99	5.20	1.20	11.00	21700.00	13.05	99.20	10.07	8.20	1.90	57.00	42.00	69.90	51.90			"Track a little long"	"SPB 2_4_16"	"SPB 2_4_16"
1145	"NB-1005"	2/4/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	11.26	20219.00	12.09	96.20	9.77	7.10	1.70	11.47	20069.00	11.99	95.90	9.70	7.50	1.80	11.39	19692.00	11.75	98.60	10.00	8.20	1.90	11.37	20191.00	12.07	98.00	9.93	11.00	2.60	42.00	55.00	38.50	52.20			"Sitting in outflow of Sonoma Bay Land Trust restoration site.  Heavy bird activity.  Track too long at end by 10 min."	"SPB 2_4_16"	"SPB 2_4_16"
1146	"NB-860"	2/5/2016 0:00:00	"5"	"1"	"Ebbing"		"4: >10"	10.97	17056.00	10.05	97.90	10.13	6.10	1.40	10.99	16567.00	9.74	97.30	10.09	6.50	1.50	10.95	16615.00	9.77	94.90	9.85	5.90	1.40	10.98	16153.00	9.48	93.50	9.71	5.90	1.40	34.00	49.00	24.60	22.10				"PET 2_5_16"	"PET 2_5_16"
1147	"NB-810"	2/5/2016 0:00:00	"5"	"1"	"Ebbing"		"3: 7-9.99"	11.02	12631.00	7.27	96.30	10.13	4.90	1.20	11.13	10951.00	6.24	92.20	9.75	6.70	1.60	11.04	12071.00	6.92	96.30	10.15	6.40	1.50	11.04	10950.00	6.24	93.50	9.90	6.80	1.60	32.00	41.00	29.30	28.70				"PET 2_5_16"	"PET 2_5_16"
1148	"NB-770"	2/5/2016 0:00:00	"5"	"1"	"Ebbing"		"1: 1-3.99"			2.80												11.04	5161.00	2.79	95.40	10.32	8.20	1.90	11.17	3869.00	2.06	89.00	9.65	8.20	1.90	17.00	26.00	90.80	74.70			"Incorrectly labeled as NB-860.  Derbis: trawled right by the edge water (slower moving H20).  Sled snagged for a moment."	"PET 2_5_16"	"PET 2_5_16"
1149	"NB-740"	2/5/2016 0:00:00	"5"	"1"	"Ebbing"		"1: 1-3.99"	11.06	1953.00	1.00	95.00	10.40	8.40	2.00	11.16	1869.00	0.96	88.20	9.63	9.30	2.20			0.70												21.00	30.00	63.40	63.90			"No file covering time listed for end water quality data"	"PET 2_5_16"	"PET 2_5_16"
1150	"NB-600"	2/6/2016 0:00:00	"5"	"1"	"Flooding"		"1: 1-3.99"	10.77	3707.00	1.97	97.20	10.64	14.80	3.50	10.75	3705.00	1.96	98.20	10.76	20.80	4.90	10.75	3470.00	1.83	95.50	10.47	9.40	2.20	10.72	3476.00	1.84	98.00	10.75	8.00	1.90	20.00		92.50				"Lots of amphipods.  Micah split and added Etoh.  Surface tow only, generator pull handle pulled in unevenly."	"SON 2_6_16"	"SON 2_6_16"
